,Unnamed: 0,source,pickup_lat,pickup_long,destination,dropoff_lat,dropoff_long,trip_duration
0,0,jaynagar,12.92953093,-77.58017063,lalbagh,12.94650176,-77.58003116,[[11.133433]]
1,1,jaynagar,12.92953093,-77.58017063,chickpete,12.96679624,-77.57457018,[[12.135856]]
2,2,jaynagar,12.92953093,-77.58017063,Jpnagar,12.9075563,-77.5708723,[[11.940006]]
3,3,jaynagar,12.92953093,-77.58017063,banashankari,12.9155385,-77.5714401,[[10.991518]]
4,4,jaynagar,12.92953093,-77.58017063,majestic,12.97566213,-77.57286429,[[1.9836706]]
5,5,lalbagh,12.94650176,-77.58003116,jaynagar,12.92953093,-77.58017063,[[5.7916746]]
6,6,lalbagh,12.94650176,-77.58003116,chickpete,12.96679624,-77.57457018,[[7.8934298]]
7,7,lalbagh,12.94650176,-77.58003116,Jpnagar,12.9075563,-77.5708723,[[8.657858]]
8,8,lalbagh,12.94650176,-77.58003116,banashankari,12.9155385,-77.5714401,[[9.167986]]
9,9,lalbagh,12.94650176,-77.58003116,majestic,12.97566213,-77.57286429,[[17.499289]]
10,10,chickpete,12.96679624,-77.57457018,lalbagh,12.94650176,-77.58003116,[[8.077788]]
11,11,chickpete,12.96679624,-77.57457018,Jpnagar,12.9075563,-77.5708723,[[9.262058]]
12,12,chickpete,12.96679624,-77.57457018,banashankari,12.9155385,-77.5714401,[[8.588201]]
13,13,chickpete,12.96679624,-77.57457018,majestic,12.97566213,-77.57286429,[[10.008866]]
14,14,chickpete,12.96679624,-77.57457018,jaynagar,12.92953093,-77.58017063,[[10.873911]]
15,15,Jpnagar,12.9075563,-77.5708723,lalbagh,12.94650176,-77.58003116,[[12.165467]]
16,16,Jpnagar,12.9075563,-77.5708723,jaynagar,12.92953093,-77.58017063,[[11.292158]]
17,17,Jpnagar,12.9075563,-77.5708723,chickpete,12.96679624,-77.57457018,[[12.245181]]
18,18,Jpnagar,12.9075563,-77.5708723,banashankari,12.9155385,-77.5714401,[[9.837134]]
19,19,Jpnagar,12.9075563,-77.5708723,majestic,12.97566213,-77.57286429,[[13.818223]]
20,20,banashankari,12.9155385,-77.5714401,jaynagar,12.92953093,-77.58017063,[[3.9224923]]
21,21,banashankari,12.9155385,-77.5714401,lalbagh,12.94650176,-77.58003116,[[14.060184]]
22,22,banashankari,12.9155385,-77.5714401,chickpete,12.96679624,-77.57457018,[[5.5428457]]
23,23,banashankari,12.9155385,-77.5714401,Jpnagar,12.9075563,-77.5708723,[[13.699343]]
24,24,banashankari,12.9155385,-77.5714401,majestic,12.97566213,-77.57286429,[[5.371056]]
25,25,majestic,12.97566213,-77.57286429,jaynagar,12.92953093,-77.58017063,[[12.972494]]
26,26,majestic,12.97566213,-77.57286429,lalbagh,12.94650176,-77.58003116,[[6.8885317]]
27,27,majestic,12.97566213,-77.57286429,chickpete,12.96679624,-77.57457018,[[10.175641]]
28,28,majestic,12.97566213,-77.57286429,Jpnagar,12.9075563,-77.5708723,[[7.6283236]]
29,29,majestic,12.97566213,-77.57286429,banashankari,12.9155385,-77.5714401,[[4.182029]]
